Tag,URL
WP-US,https://en.wikipedia.org/wiki/Ebola_virus_cases_in_the_United_States
WP-UK,https://en.wikipedia.org/wiki/Ebola_in_the_United_Kingdom
WP-ES,https://en.wikipedia.org/wiki/Ebola_virus_disease_in_Spain
WP-Reston,https://en.wikipedia.org/wiki/Reston_virus
WP-Caff,https://en.wikipedia.org/wiki/Pauline_Cafferkey
WP-Croz,https://en.wikipedia.org/wiki/Ian_Crozier
WP-Ug22,https://en.wikipedia.org/wiki/2022%E2%80%932023_Uganda_Ebola_outbreak
CDC-Hist,https://www.cdc.gov/ebola/outbreaks/index.html
CDC-MMWR,https://www.cdc.gov/mmwr/preview/mmwrhtml/mm63e1114a5.htm
CDC-Mus,https://cdcmuseum.org/exhibits/show/ebola/ebola-us/dallas
WHO-2014,https://www.who.int/emergencies/disease-outbreak-news/item/01-october-2014-ebola-en
WHO-2026,https://www.who.int/emergencies/disease-outbreak-news/item/2026-DON602
WHO-Baez,https://www.who.int/news-room/feature-stories/detail/cuban.-doctor.-ebola-survivor
WHO-95,https://press.un.org/en/1995/19951215.h2890.html
ECDC-26,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-democratic-republic-congo-and-uganda-19-may-2026
ECDC-Ug,https://www.ecdc.europa.eu/en/ebola-virus-disease-outbreak-uganda
JID-Ham,https://academic.oup.com/jid/article/204/suppl_3/S785/2192258
JID-CdI,https://academic.oup.com/jid/article/179/Supplement_1/S120/880079
Sci-TaiF,https://www.science.org/content/article/famous-ebola-patient-who-remained-anonymous-20-years
Sci-Ham,https://www.science.org/content/article/virologist-isolation-after-accident-ebola
PMC-Rub,https://pmc.ncbi.nlm.nih.gov/articles/PMC4347316/
PubMed-DE,https://pubmed.ncbi.nlm.nih.gov/25963641/
NCBI-DE,https://www.ncbi.nlm.nih.gov/books/NBK401929/
AJ-Lpz,https://www.aljazeera.com/news/2014/10/14/un-medical-worker-dies-of-ebola-in-germany
TL-DE,https://www.thelocal.de/20141105/ebola-patient-improves-in-frankfurt-hospital
TL-CH,https://www.thelocal.ch/20141120/first-ebola-patient-to-be-treated-in-geneva
TL-NO,https://www.thelocal.no/20141021/norwegian-ebola-victim-cured
MSF-NO,https://www.doctorswithoutborders.org/latest/norwegian-aid-worker-recovers-ebola
MSF-Rep,https://www.msf.org/report-ebola-2014-2015-facts-figures
CIDRAP-FR,https://www.cidrap.umn.edu/ebola/ebola-infects-french-msf-worker-epidemic-holds-spotlight
NBC-FR,https://www.nbcnews.com/storyline/ebola-virus-outbreak/u-n-health-worker-flown-france-ebola-treatment-n239321
CBC-Baez,https://www.cbc.ca/news/health/felix-baez-cuban-doctor-with-ebola-recovers-in-geneva-1.2862976
Treccani,https://www.treccani.it/enciclopedia/fabrizio-pulvirenti_(Il-Libro-dell'Anno)/
IlPost,https://www.ilpost.it/2015/02/10/fabrizio-pulvirenti/
CNN-Surv,https://www.cnn.com/2015/09/02/health/ebola-outbreak-survivors-rewind/
Neb,https://www.nebraskamed.com/biocontainment/ebola
Geo-TaiF,https://oneill.law.georgetown.edu/ebola-tai-forest-a-unique-emergence-and-the-dawn-of-the-modern-age-of-ebola/
mSph,https://msphere.asm.org/content/1/6/e00322-16
Stan,https://virus.stanford.edu/filo/ebor.html
INV,https://www.insidenova.com/headlines/ebola-reston-a-look-back-at-the-monkey-house/article_4aad76c0-5b35-11e4-b9b3-371ac205d748.html
Spr-Siena,https://link.springer.com/chapter/10.1007/978-3-030-52283-4_12
CIDRAP-Mng,http://www.cidrap.umn.edu/news-perspective/2015/11/uk-nurse-ebola-meningitis-released-isolation
Lan-Ug22,https://www.thelancet.com/journals/langlo/article/PIIS2214-109X(24)00260-2/fulltext
BMG-26,https://www.bundesgesundheitsministerium.de/en/service/begriffe-von-a-z/e/ebola-disease
NBC-26,https://www.nbcnews.com/health/health-news/ebola-outbreak-2026-bundibugyo-symptoms-how-spread-treatment-what-know-rcna345696
UN-26,https://news.un.org/en/story/2026/05/1167542
Can,https://www.canada.ca/en/public-health/services/diseases/ebola/surveillance-ebola.html
GOV-UK,https://www.gov.uk/government/publications/ebola-origins-reservoirs-transmission-and-guidelines/ebola-overview-history-origins-and-transmission
RoyalF,https://www.royalfree.nhs.uk/news/infectious-diseases-our-history
MX-Frank,https://medicalxpress.com/news/2014-12-german-hospital-discharges-ebola-patient.html
NBC-DE,https://www.nbcnews.com/storyline/ebola-virus-outbreak/ebola-patient-arrives-germany-treatment-n190006
ANSA-IT15,https://www.ansa.it/english/news/general_news/2015/06/09/ebola-infected-nurse-healed_bd102445-0032-424f-9bee-29a172d3b431.html
TL-IT15,https://www.thelocal.it/20150610/italian-nurse-cured-of-ebola
CBC-IT15,https://www.cbc.ca/news/health/nurse-in-italy-infected-with-ebola-returned-from-sierra-leone-1.3072651
Euronews-IT15,https://www.euronews.com/2015/05/13/italy-s-second-case-of-ebola-gets-treatment-in-rome
WaPo-Rus,https://www.washingtonpost.com/national/health-science/2014/10/23/ce409716-5945-11e4-b812-38518ae74c67_story.html
Regnum-Rus,https://regnum.ru/news/265774.html
RU-WP-Ebola,https://ru.wikipedia.org/wiki/Геморрагическая_лихорадка_Эбола
RG-Rus04,https://rg.ru/2004/06/30/ebola.html
CIDRAP-Rus04,https://www.cidrap.umn.edu/ebola/russian-scientist-dies-ebola-after-lab-accident
Sci-Rus04,https://www.science.org/doi/10.1126/science.304.5675.1225b
ILPOST-IT15,https://www.ilpost.it/2015/06/10/infermiere-emergency-ebola-guarito/
NuovaSardegna-IT15,https://www.lanuovasardegna.it/sassari/cronaca/2015/06/09/news/ebola-l-infermiere-sassarese-e-guarito-sara-dimesso-1.11584980
QS-IT15,https://www.quotidianosanita.it/cronache/articolo.php?articolo_id=28949
WHO-IT15,https://www.who.int/emergencies/disease-outbreak-news/item/13-may-2015-ebola-en
