Tag,URL
WHO-DON09a,https://www.who.int/emergencies/disease-outbreak-news/item/2009_02_03-en
WHO-DON09b,https://www.who.int/emergencies/disease-outbreak-news/item/2009_03_31-en
WPSAR-Risk,https://ojs.wpro.who.int/ojs/index.php/wpsar/article/download/480/937?inline=1
Rev-PH,https://pubmed.ncbi.nlm.nih.gov/21987747/
Euro-09,https://www.eurosurveillance.org/content/10.2807/ese.14.04.19105-en
Stan-Filo,https://virus.stanford.edu/filo/ebor.html
JID-Quar,https://academic.oup.com/jid/article/179/Supplement_1/S108/879887
WP-Reston,https://en.wikipedia.org/wiki/Reston_virus
Sci-Pig,https://www.science.org/content/article/update-ebola-reston-virus-jumped-pigs-least-one-human
FAO-09,https://www.fao.org/newsroom/detail/First-detection-of-Ebola-Reston-virus-in-pigs/en
Seroswine,https://pmc.ncbi.nlm.nih.gov/articles/PMC3433389/
ChinaD-Kov,http://www.chinadaily.com.cn/world/2014-10/10/content_18716208.htm
Cath-Kov,https://www.catholic.org/news/international/asia/story.php?id=57222
PMC-Pac,https://pmc.ncbi.nlm.nih.gov/articles/PMC4542486/
PMC-BR14,https://pmc.ncbi.nlm.nih.gov/articles/PMC4325613/
LAS-Prep,http://latinamericanscience.org/ebola-latam.html
NBC-BR26,https://www.nbcnews.com/world/africa/brazil-investigates-possible-ebola-cases-outbreak-congo-drc-rcna347819
Bloom-BR26,https://www.bloomberg.com/news/articles/2026-05-30/brazil-s-health-authorities-investigating-a-suspected-ebola-case
DOH-PH26,https://www.philstar.com/headlines/2026/05/25/2530290/no-ebola-case-philippines-doh
SCMP-Asia,https://www.scmp.com/news/asia/southeast-asia/article/3354178/singapore-japan-south-korea-boost-ebola-screening-after-who-alert
